"genus" "family" "order"
"Acacia_cuthbertsonii" "Acacia" "Fabaceae" "Fabales"
"Acacia_cyclops" "Acacia" "Fabaceae" "Fabales"
"Acacia_cyperophylla" "Acacia" "Fabaceae" "Fabales"
"Acacia_dallachiana" "Acacia" "Fabaceae" "Fabales"
"Acacia_dawsonii" "Acacia" "Fabaceae" "Fabales"
"Acacia_dealbata" "Acacia" "Fabaceae" "Fabales"
"Acacia_deanei" "Acacia" "Fabaceae" "Fabales"
"Acacia_decora" "Acacia" "Fabaceae" "Fabales"
"Acacia_decurrens" "Acacia" "Fabaceae" "Fabales"
"Acacia_deficiens" "Acacia" "Fabaceae" "Fabales"
"Acacia_desmondii" "Acacia" "Fabaceae" "Fabales"
"Acacia_dictyoneura" "Acacia" "Fabaceae" "Fabales"
"Acacia_dictyophleba" "Acacia" "Fabaceae" "Fabales"
"Acacia_difficilis" "Acacia" "Fabaceae" "Fabales"
"Acacia_difformis" "Acacia" "Fabaceae" "Fabales"
"Acacia_dimidiata" "Acacia" "Fabaceae" "Fabales"
"Acacia_disticha" "Acacia" "Fabaceae" "Fabales"
"Acacia_dodonaeifolia" "Acacia" "Fabaceae" "Fabales"
"Acacia_doratoxylon" "Acacia" "Fabaceae" "Fabales"
"Acacia_drepanophylla" "Acacia" "Fabaceae" "Fabales"
"Acacia_drummondii" "Acacia" "Fabaceae" "Fabales"
"Acacia_dudgeoni" "Acacia" "Fabaceae" "Fabales"
"Acacia_durabilis" "Acacia" "Fabaceae" "Fabales"
"Acacia_duriuscula" "Acacia" "Fabaceae" "Fabales"
"Acacia_ebutsiniorum" "Acacia" "Fabaceae" "Fabales"
"Acacia_effusa" "Acacia" "Fabaceae" "Fabales"
"Acacia_elachantha" "Acacia" "Fabaceae" "Fabales"
"Acacia_elata" "Acacia" "Fabaceae" "Fabales"
"Acacia_elongata" "Acacia" "Fabaceae" "Fabales"
"Acacia_empelioclada" "Acacia" "Fabaceae" "Fabales"
"Acacia_enterocarpa" "Acacia" "Fabaceae" "Fabales"
"Acacia_erinacea" "Acacia" "Fabaceae" "Fabales"
"Acacia_errabunda" "Acacia" "Fabaceae" "Fabales"
"Acacia_estrophiolata" "Acacia" "Fabaceae" "Fabales"
"Acacia_excelsa" "Acacia" "Fabaceae" "Fabales"
"Acacia_extensa" "Acacia" "Fabaceae" "Fabales"
"Acacia_falcata" "Acacia" "Fabaceae" "Fabales"
"Acacia_falciformis" "Acacia" "Fabaceae" "Fabales"
"Acacia_farinosa" "Acacia" "Fabaceae" "Fabales"
"Acacia_farnesiana" "Acacia" "Fabaceae" "Fabales"
"Acacia_fasciculifera" "Acacia" "Fabaceae" "Fabales"
"Acacia_filicifolia" "Acacia" "Fabaceae" "Fabales"
"Acacia_filifolia" "Acacia" "Fabaceae" "Fabales"
"Acacia_fimbriata" "Acacia" "Fabaceae" "Fabales"
"Acacia_flabellifolia" "Acacia" "Fabaceae" "Fabales"
"Acacia_flavescens" "Acacia" "Fabaceae" "Fabales"
"Acacia_fleckii" "Acacia" "Fabaceae" "Fabales"
"Acacia_flexifolia" "Acacia" "Fabaceae" "Fabales"
"Acacia_flocktoniae" "Acacia" "Fabaceae" "Fabales"
"Acacia_floribunda" "Acacia" "Fabaceae" "Fabales"
"Acacia_floydii" "Acacia" "Fabaceae" "Fabales"
"Acacia_frigescens" "Acacia" "Fabaceae" "Fabales"
"Acacia_galeata" "Acacia" "Fabaceae" "Fabales"
"Acacia_gaumeri" "Acacia" "Fabaceae" "Fabales"
"Acacia_genistifolia" "Acacia" "Fabaceae" "Fabales"
"Acacia_gentlei" "Acacia" "Fabaceae" "Fabales"
"Acacia_georginae" "Acacia" "Fabaceae" "Fabales"
"Acacia_gerrardii" "Acacia" "Fabaceae" "Fabales"
"Acacia_gillii" "Acacia" "Fabaceae" "Fabales"
"Acacia_gladiiformis" "Acacia" "Fabaceae" "Fabales"
