"la" "ln" "ph" "sla" "ssd" "sm"
"Acacia_bellula" NA NA NA NA NA 27.15
"Acacia_berlandieri" 4.947619048 NA NA NA NA 283
"Acacia_betchei" NA NA NA NA NA 32.31
"Acacia_bidwillii" NA NA NA NA NA 99.4
"Acacia_bifaria" NA NA NA NA NA 3.92
"Acacia_bilimekii" NA NA NA NA NA 28.7
"Acacia_binervata" NA NA 11.6666666666667 16.49 NA 18.2
"Acacia_binervia" NA NA NA NA NA 10.24
"Acacia_bivenosa" NA NA NA NA 0.635 26.66
"Acacia_blakei" NA NA NA NA NA 6.59
"Acacia_blakelyi" NA NA NA NA NA 23.13
"Acacia_boboensis" NA 34 NA 16.97792869 NA NA
"Acacia_boormanii" NA NA NA NA NA 13.26
"Acacia_botrydion" NA NA NA NA NA 19.47
"Acacia_brachybotrya" 125.5635125 NA 2.25 5.5125178715 NA 21.86
"Acacia_brachystachya" 140.124222222222 14.6 3.91666666666667 4.36 0.99 32.3006666666667
"Acacia_brassii" NA NA NA NA NA 7.84
"Acacia_brevispica" 3.44711 36 NA NA NA 202.16
"Acacia_browniana" NA NA NA NA NA 4.59
"Acacia_brownii" 3.1962 NA 0.2 3.99525 NA NA
"Acacia_brumalis" NA NA NA NA NA 16.19
"Acacia_brunioides" NA NA NA NA NA 10.34
"Acacia_burbidgeae" NA NA NA NA NA 8.06
"Acacia_burrowii" NA NA NA NA NA 5.31
"Acacia_buxifolia" NA NA NA NA NA 15.53
"Acacia_caerulescens" NA NA NA NA NA 37.86
"Acacia_caesariata" NA NA NA NA NA 1.55
"Acacia_caesiella" NA NA NA NA NA 19.23
"Acacia_caffra" 3.73 30.0699616233333 2.93214285714286 9.7230057276 NA 43.58
"Acacia_calamifolia" NA NA NA NA NA 23.0285
"Acacia_calcicola" NA NA NA NA NA 45
"Acacia_cambagei" 397 NA 10 5.7484082335 1.0831113 30.15
"Acacia_campylophylla" NA NA NA NA NA 6.37
"Acacia_cana" 131.1658 NA 1 2.540003873 NA 25.08
"Acacia_cangaiensis" NA NA NA NA NA 18.38
"Acacia_cardiophylla" NA NA NA NA NA 15.1
"Acacia_carens" NA NA NA NA NA 30.86
"Acacia_caroleae" NA NA NA NA NA 10.71
"Acacia_catechu" NA 17.45 NA NA 0.780365 45
"Acacia_caven" 8.885 28.73333487 3.331110741 11.9339297474798 0.936466666666667 93.9
"Acacia_celastrifolia" NA NA NA NA NA 13.08
"Acacia_cerastes" NA NA NA NA NA 5.51
"Acacia_chalkeri" NA NA NA NA NA 9.57
"Acacia_chapmanii" NA NA NA NA NA 3.08
"Acacia_chisholmii" NA NA NA NA 0.79328 15.92
"Acacia_choriophylla" NA NA NA NA NA 784.49
"Acacia_chrysotricha" NA NA NA NA NA 16.6
"Acacia_chundra" NA NA NA NA 0.98 133.3
"Acacia_cincinnata" NA NA NA NA NA 11.61
"Acacia_citrinoviridis" NA NA NA NA 0.845 36.53
"Acacia_clydonophora" NA NA NA NA NA 22.91
"Acacia_cochliacantha" NA NA NA NA NA 37.53
"Acacia_cognata" NA NA NA 23.6 NA 8.11
"Acacia_colei" NA 44.01807887 NA 17.59603706 0.688145 12.095
"Acacia_colletioides" 24.7686491666667 18.716687797 2.4375 2.84694837366667 NA 8.66456666666667
"Acacia_compacta" NA NA NA NA NA 35.55
"Acacia_complanata" NA NA NA NA NA 42.9
"Acacia_concurrens" NA NA NA NA 0.75768 7.4165
"Acacia_conferta" NA NA NA NA NA 12.6
"Acacia_confusa" NA 29.6 NA NA 0.73232075 31
"Acacia_congesta" NA NA NA NA NA 20.65
"Acacia_constablei" NA NA NA NA NA 14.6
"Acacia_constricta" 155.113708873 30.66 3.9144 7.2645980869 NA 49.450051
"Acacia_continua" NA NA NA NA NA 7.58
"Acacia_coolgardiensis" NA NA NA NA NA 2.57
"Acacia_coriacea" 33 24.8665615133333 NA 12.48607821 0.93805975 65.81
"Acacia_costiniana" NA NA NA NA NA 12.46
"Acacia_coulteri" NA NA NA NA NA 93.87
"Acacia_cowleana" NA NA NA NA NA 11.32
"Acacia_craspedocarpa" NA NA NA NA 0.88683 84.8
"Acacia_crassa" NA NA NA NA NA 9.03
