"biomesKoeppenGroup" "woodiness" "mycorrhizalAssociationType" "nitrogenFixationNodDB" "SRL" "D" "RTD" "N"
"Alectryon_excelsus" "NA" "woody" "AM" "NA" 0.23977651 -0.261749345 0.011490883 0.56811226
"Aleurites_moluccanus" "Tropical" "woody" "NA" "NA" -0.699913704 0.724430662 NA NA
"Alhagi_sparsifolia" "NA" "woody" "NA" "Rhizobia" NA 0.469178521 NA 0.0168504
"Alliaria_petiolata" "NA" "non-woody" "NA" "NA" 0.630721922 -0.446990658 NA NA
"Allium_bidentatum" "Arid" "non-woody" "NA" "NA" -0.488065865 1.244352174 NA NA
"Allium_mongolicum" "Arid" "non-woody" "NA" "NA" 0.079441526 1.308811341 NA 0.235098542
"Allium_polyrhizum" "Arid" "non-woody" "NA" "NA" -0.650643405 NA NA NA
"Allium_ramosum" "Arid" "non-woody" "NA" "NA" NA 1.384789748 NA NA
"Allium_senescens" "Arid" "non-woody" "NA" "NA" 0.340700838 0.868405465 NA NA
"Allium_tenuissimum" "Continental" "non-woody" "NA" "NA" 0.095495032 1.318769911 NA NA
"Allium_textile" "Arid" "non-woody" "NA" "NA" 0.630929625 0.308402671 -1.544028134 NA
"Allophylus_abyssinicus" "Temperate" "woody" "NA" "NA" -0.061097612 -0.117848895 0.204823151 NA
"Allophylus_cobbe" "Temperate" "woody" "NA" "NA" 0.418424467 -1.092597642 0.896446995 -0.339279119
"Alloteropsis_semialata" "NA" "non-woody" "NA" "NA" NA 1.057450939 0.664957283 -1.152024959
"Alniphyllum_fortunei" "Temperate" "woody" "AM" "NA" 0.265938086 -0.196826149 -0.158678388 0.070814251
"Alnus_formosana" "Temperate" "woody" "NA" "Frankia" 0.010627903 0.014159397 NA -0.014933278
"Alnus_glutinosa" "Temperate" "woody" "NA" "Frankia" 0.687599897 -0.138657119 -0.630005192 NA
"Alnus_hirsuta" "Continental" "woody" "EcM" "Frankia" -0.118502279 -0.194406066 NA -0.290000259
"Alnus_incana" "Polar" "woody" "NA" "Frankia" NA NA NA 0.88536081
"Alnus_japonica" "Continental" "woody" "NA" "Frankia" NA NA NA -0.009555353
"Alnus_mandshurica" "Continental" "woody" "EcM" "Frankia" 0.255024834 -0.557858447 NA NA
"Alnus_rubra" "NA" "woody" "NA" "Frankia" NA NA NA 0.469169319
"Alopecurus_bulbosus" "NA" "non-woody" "NA" "NA" NA -0.415371716 -0.227052975 NA
"Alopecurus_geniculatus" "Temperate" "non-woody" "NA" "NA" 0.32812339 0.167907482 -0.137724286 NA
"Alopecurus_pratensis" "NA" "non-woody" "NA" "NA" 0.219572376 -0.145796043 -0.367598171 -0.571512315
"Alpinia_japonica" "NA" "non-woody" "AM" "NA" 0.673333713 -0.697930797 -0.173550387 -0.53762923
"Alseis_blackiana" "Tropical" "woody" "NA" "NA" 0.034451494 -0.043734167 0.010916944 0.197515991
"Alstonia_scholaris" "Tropical" "woody" "AM" "NA" -0.034999214 0.506937756 -0.791647439 0.330201938
"Alternanthera_sessilis" "Temperate" "non-woody" "NA" "NA" 0.072823055 -0.497615785 NA -0.0268636
"Altingia_gracilipes" "Temperate" "woody" "NA" "NA" -0.392744787 0.144985812 0.562154099 -0.041295425
"Altingia_obovata" "Tropical" "woody" "NA" "NA" 0.071417198 -0.494237367 -0.252021192 -0.372358729
"Amaranthus_blitoides" "NA" "non-woody" "NA" "NA" -0.001118813 -0.349126583 0.659979095 NA
"Amaranthus_retroflexus" "NA" "non-woody" "NA" "NA" 0.611207075 -1.044995421 0.683326128 NA
"Ambrosia_artemisiifolia" "NA" "non-woody" "NA" "NA" 0.451571218 0.183224335 -0.898153948 0.598481359
"Ambrosia_psilostachya" "Temperate" "non-woody" "NA" "NA" 0.371884779 NA NA 0.363443346
"Amelanchier_alnifolia" "Arid" "woody" "NA" "NA" -0.910106762 0.607905816 0.751557808 NA
"Amomum_villosum" "NA" "non-woody" "AM" "NA" 0.482303977 -0.200080081 -0.596380962 -0.403708491
"Amorpha_canescens" "Continental" "woody" "NA" "Rhizobia" -0.202345213 NA NA 0.492169336
"Amphibromus_fluitans" "Temperate" "non-woody" "NA" "NA" NA NA -0.636559254 NA
