"biomesKoeppenGroup" "woodiness" "mycorrhizalAssociationType" "nitrogenFixationNodDB" "SRL" "D" "RTD" "N"
"Juniperus_communis" "Polar" "woody" "NA" "NA" NA NA NA -0.578409635
"Juniperus_deppeana" "NA" "woody" "NA" "NA" 0.108069861 NA NA NA
"Juniperus_monosperma" "NA" "woody" "NA" "NA" -0.304474621 0.524489947 NA -0.330967024
"Juniperus_occidentalis" "Temperate" "woody" "NA" "NA" NA NA NA -0.124178116
"Juniperus_osteosperma" "Continental" "woody" "NA" "NA" -0.376905308 NA NA NA
"Juniperus_phoenicea" "Temperate" "woody" "NA" "NA" -0.155562587 0.328125757 0.000637908 NA
"Juniperus_sabina" "NA" "woody" "AM" "NA" -0.632912169 0.655087041 0.056223459 -0.042053612
"Juniperus_scopulorum" "NA" "woody" "NA" "NA" 0.026388915 NA NA NA
"Juniperus_virginiana" "Temperate" "woody" "NA" "NA" NA NA NA -0.14895288
"Karelinia_caspia" "NA" "non-woody" "NA" "NA" NA 1.18559715 NA 0.1298496
"Keckiella_antirrhinoides" "NA" "woody" "NA" "NA" 0.558859985 NA NA NA
"Knautia_arvensis" "NA" "non-woody" "NA" "NA" -0.263847767 0.386621295 0.699700309 -0.541064069
"Knema_erratica" "Temperate" "woody" "AM" "NA" -1.207550602 1.25184425 0.238084693 -0.446589607
"Knightia_excelsa" "NA" "woody" "AM" "NA" 0.409194209 -0.561912143 0.18671003 0.068386507
"Kochia_prostrata" "Arid" "non-woody/woody" "NA" "NA" NA -0.310885567 NA NA
"Koeleria_macrantha" "NA" "non-woody" "NA" "NA" 0.626218243 -0.851783312 0.378985825 -0.326621607
"Koeleria_pyramidata" "NA" "non-woody" "NA" "NA" 0.184367325 0.201503396 -0.220483718 NA
"Koeleria_vallesiana" "Temperate" "non-woody" "NA" "NA" 0.424205008 -0.328585401 -0.14597218 1.206270265
"Koelreuteria_paniculata" "Temperate" "woody" "AM" "NA" 0.581896008 -0.195056405 -0.969554539 -0.628436359
"Krameria_grayi" "NA" "woody" "NA" "NA" -0.057183624 NA NA NA
"Krascheninnikovia_ceratoides" "Arid" "woody" "NA" "NA" -0.235620348 NA NA 0.824411425
"Kunzea_ericoides" "NA" "woody" "AM" "NA" 0.288637914 -0.056748712 -0.469617554 NA
"Lachnagrostis_lyallii" "Temperate" "non-woody" "NA" "NA" NA NA -0.259753528 NA
"Lachnagrostis_striata" "Temperate" "non-woody" "NA" "NA" NA NA -0.074124991 NA
"Lactuca_canadensis" "NA" "non-woody" "NA" "NA" -0.452736221 0.668019511 -0.290557143 NA
"Lactuca_ludoviciana" "NA" "non-woody" "NA" "NA" -0.631203354 0.753316118 -0.074895502 NA
"Lactuca_tatarica" "Arid" "non-woody" "NA" "NA" 0.007120694 0.432466716 -0.507271147 NA
"Laennecia_schiedeana" "Temperate" "non-woody" "NA" "NA" -0.082712012 NA NA 0.296647985
"Lamium_album" "NA" "non-woody" "AM" "NA" 0.375958443 -0.486214047 0.026427908 0.292762344
"Lansium_domesticum" "Tropical" "woody" "NA" "NA" 0.106721586 -0.485366999 NA NA
"Lapsana_communis" "NA" "non-woody" "NA" "NA" 0.19524532 -0.326292577 0.061139937 NA
"Larix_decidua" "Temperate" "woody" "NA" "NA" -0.248568457 0.189448574 -0.066710798 0.114827448
"Larix_gmelinii" "Continental" "woody" "NA" "NA" -0.215725613 0.134233179 0.222225258 -0.116834726
"Larix_kaempferi" "Continental" "woody" "NA" "NA" 0.127117779 0.002593612 -0.058569462 0.069350657
"Larix_laricina" "NA" "woody" "NA" "NA" NA NA NA 0.104964529
"Larrea_tridentata" "NA" "woody" "NA" "likely_present" -0.336569937 NA NA NA
"Lathyrus_cicera" "NA" "non-woody" "NA" "Rhizobia" -0.51077038 0.631786111 -0.020407731 NA
"Lathyrus_leucanthus" "Continental" "non-woody" "NA" "Rhizobia" 0.17571466 -0.350051251 NA NA
"Lathyrus_pratensis" "NA" "non-woody" "NA" "Rhizobia" -0.895824108 0.808699182 0.076464459 1.7036588
"Lathyrus_sativus" "NA" "non-woody" "NA" "Rhizobia" -0.963027488 0.776719758 0.550297252 NA
"Lathyrus_venosus" "Arid" "non-woody" "NA" "Rhizobia" -0.343422517 0.59293714 -0.642224089 NA
"Launaea_arborescens" "Arid" "woody" "NA" "NA" -0.310809149 -0.178454783 -0.455919488 NA
"Laurelia_novae-zelandiae" "NA" "woody" "AM" "NA" -0.616629164 1.021677234 -0.622258459 0.680013308
"Lavandula_multifida" "Arid" "woody" "NA" "NA" -0.916952079 0.217525062 0.255840772 NA
"Lavandula_stoechas" "Temperate" "woody" "NA" "NA" 0.58041399 -0.54451911 0.383466796 NA
"Ledum_palustre" "Continental" "woody" "NA" "NA" NA 0.291998392 NA -0.321182795
"Leiospermum_racemosum" "NA" "woody" "AM" "NA" 0.48676066 -0.621114716 0.172396782 -0.626172218
"Lens_culinaris" "NA" "non-woody" "NA" "Rhizobia" -0.609042271 0.193566698 0.84498065 NA
"Leontodon_autumnalis" "NA" "non-woody" "NA" "NA" -0.104923067 0.181215831 -0.100919808 -0.133692672
"Leontodon_hispidus" "NA" "non-woody" "NA" "NA" -0.059542759 0.251099273 -0.311754412 -0.064349968
"Leontodon_taraxacoides" "NA" "non-woody" "NA" "NA" 0.132397974 NA NA 1.475008068
"Leontopodium_campestre" "Arid" "non-woody" "NA" "NA" 0.48816386 NA NA NA
"Leontopodium_nanum" "Polar" "non-woody" "NA" "NA" -0.381713917 -1.517337406 NA NA
"Lepidium_densiflorum" "NA" "non-woody" "NA" "NA" 0.842911316 -1.190640734 0.482429435 0.525834979
"Lepidium_virginicum" "NA" "non-woody" "NA" "NA" 0.643882815 -1.262061472 0.778382806 NA
"Lepidothamnus_intermedius" "Temperate" "woody" "AM" "NA" -0.135783991 -0.510439892 0.520869476 -0.505026438
"Leptecophylla_juniperina" "Temperate" "woody" "ErM" "NA" 1.116591523 -2.182876421 1.474718387 -1.211157163
"Leptinella_maniototo" "Temperate" "non-woody" "NA" "NA" NA NA -1.621136357 NA
"Leptospermum_scoparium" "NA" "woody" "AM" "NA" 0.842391289 -0.706952399 -0.401812538 -0.220910314
"Lespedeza_bicolor" "NA" "woody" "AM" "Rhizobia" 0.270724989 0.584795898 -0.422196398 0.029329504
"Lespedeza_capitata" "NA" "woody" "NA" "Rhizobia" -0.289136948 0.20571026 0.085091177 1.460538517
"Lespedeza_davidii" "Temperate" "woody" "NA" "Rhizobia" -0.083505869 0.291718613 NA NA
"Lespedeza_davurica" "Arid" "non-woody/woody" "NA" "Rhizobia" -0.383958509 NA NA 0.561242235
"Lespedeza_floribunda" "Temperate" "woody" "NA" "Rhizobia" 0.403969292 NA NA 0.980015794
"Lespedeza_juncea" "Continental" "woody" "NA" "Rhizobia" -0.096104121 NA NA 0.567191302
"Lespedeza_thunbergii" "NA" "woody" "NA" "Rhizobia" 0.148590283 -0.220909626 0.060584145 -0.793057565
"Lespedeza_violacea" "NA" "non-woody" "NA" "Rhizobia" -0.27912908 0.290084281 0.054517647 NA
"Leucaena_leucocephala" "Tropical" "woody" "NA" "Rhizobia" 0.081964621 -0.426028493 NA 0.153341702
"Leucanthemum_ircutianum" "NA" "non-woody" "NA" "NA" -0.678506694 0.204494618 0.757852687 NA
"Leucanthemum_vulgare" "NA" "non-woody" "NA" "NA" -0.027118851 0.169373966 -0.22809468 -0.346539503
"Leymus_chinensis" "Continental" "non-woody" "NA" "NA" 0.569011914 -0.550129067 NA NA
"Liatris_aspera" "NA" "non-woody" "NA" "NA" 0.430290065 -0.141953728 -0.636104652 -0.250827754
"Liatris_mucronata" "NA" "non-woody" "NA" "NA" 0.167573754 -0.122963884 -0.10243385 NA
"Liatris_punctata" "NA" "non-woody" "NA" "NA" 0.249728327 0.225941852 -0.941566604 NA
"Liatris_pycnostachya" "NA" "non-woody" "NA" "NA" 0.543950649 0.107060139 -1.028888352 NA
"Licania_irwinii" "Tropical" "woody" "NA" "NA" -0.176098027 -1.029832339 0.752466804 NA
"Licania_micrantha" "Tropical" "woody" "NA" "NA" -0.559642374 -0.644796537 1.079035774 NA
"Licania_ovalifolia" "Tropical" "woody" "NA" "NA" 0.285579116 -1.11961618 0.589688893 NA
"Ligusticum_porteri" "Continental" "non-woody" "NA" "NA" -0.092919167 0.086470279 NA NA
"Lilaeopsis_ruthiana" "Temperate" "non-woody" "NA" "NA" NA NA -1.581784659 NA
"Linaria_dalmatica" "Temperate" "non-woody" "NA" "NA" -0.580665479 NA NA -0.060659922
"Linaria_vulgaris" "NA" "non-woody" "NA" "NA" -0.117812258 -0.268837451 0.529343308 NA
"Lindera_benzoin" "Temperate" "woody" "NA" "NA" -0.506855513 1.109896003 -0.706642313 0.499602346
"Lindera_communis" "Temperate" "woody" "AM" "NA" -0.339878383 0.39451851 0.025185792 0.189990673
"Lindera_obtusiloba" "NA" "woody" "AM" "NA" -0.012845686 -0.012511511 -0.013025977 -0.046117961
"Linum_australe" "Temperate" "non-woody" "NA" "NA" -0.210892012 NA NA 0.269583143
"Linum_lewisii" "Temperate" "non-woody/woody" "NA" "NA" -0.333288575 0.079267344 -0.079005014 -0.091836914
"Linum_usitatissimum" "NA" "non-woody" "NA" "NA" 0.032329864 -0.307574054 0.525588473 NA
"Liquidambar_formosana" "Temperate" "woody" "NA" "NA" 0.20685295 -0.339867668 0.219404682 -0.279563466
"Liquidambar_styraciflua" "Temperate" "woody" "NA" "NA" -0.038049066 0.007729101 0.005251825 -0.691554171
"Liriodendron_chinense" "Temperate" "woody" "AM" "NA" -0.262066984 0.602112559 -0.650541307 0.17251222
"Liriodendron_tulipifera" "Continental" "woody" "NA" "NA" -0.648104708 0.901403026 -0.499402837 0.25926109
"Lithocarpus_chiungchungensis" "NA" "woody" "AM" "NA" 0.561360226 -1.077726774 1.203914063 NA
"Lithocarpus_cleistocarpus" "NA" "woody" "EcM" "NA" -0.220528744 0.062302132 0.288340772 -0.633665881
"Lithocarpus_clementianus" "Tropical" "woody" "EcM" "NA" 0.317419327 -0.396867471 0.102295668 NA
"Lithocarpus_confertus" "Tropical" "woody" "EcM" "NA" 0.008870678 -0.112206867 0.38418385 NA
"Lithocarpus_fenestratus" "Temperate" "woody" "EcM" "NA" -0.867704514 0.8681071 0.244034618 NA
"Lithocarpus_glaber" "Temperate" "woody" "NA" "NA" 0.041210039 -0.143650738 0.311931264 0.05385427
"Lithocarpus_lampadarius" "Tropical" "woody" "EcM" "NA" 0.032114909 -0.155897989 0.290994416 NA
"Lithocarpus_rigidus" "Tropical" "woody" "EcM" "NA" -0.192176263 0.007256777 0.422332036 NA
"Lithospermum_multiflorum" "Temperate" "non-woody" "NA" "NA" -0.916850286 NA NA -0.410309507
"Litsea_baviensis" "Tropical" "woody" "AM" "NA" -0.741890356 1.070334046 -0.944301028 1.070533151
"Litsea_calicaris" "NA" "woody" "AM" "NA" -0.664125936 1.194278146 -0.711894501 1.082210721
"Litsea_coreana" "Temperate" "woody" "NA" "NA" -0.078840332 0.278302753 -0.126753898 0.913773663
"Litsea_cubeba" "Temperate" "woody" "AM" "NA" 0.045179799 0.201138391 0.771966575 0.570385865
"Litsea_elongata" "NA" "woody" "AM" "NA" -0.469759163 0.300116355 0.366621074 0.292292223
"Litsea_ichangensis" "NA" "woody" "AM" "NA" -0.299584493 0.670481552 -0.652774252 0.58294207
"Litsea_ochracea" "Tropical" "woody" "AM" "NA" -1.123711419 1.378082371 -0.246703202 NA
"Litsea_verticillata" "Temperate" "woody" "AM" "NA" -0.615538151 0.60034852 0.505140298 0.923186706
"Lobelia_macrodon" "Temperate" "woody" "NA" "NA" 0.079674371 NA NA -0.240344191
"Lobelia_siphilitica" "NA" "non-woody" "AM" "NA" 0.575390437 -0.286295965 NA NA
"Lolium_multiflorum" "Continental" "non-woody" "NA" "NA" 1.064266855 -0.337194699 -0.682490939 -0.219860853
"Lolium_perenne" "NA" "non-woody" "NA" "NA" 0.233572054 0.016453216 -0.069923084 0.415430819
"Lolium_rigidum" "NA" "non-woody" "NA" "NA" 0.09697361 -0.112659067 NA NA
"Lomandra_filiformis" "NA" "non-woody" "NA" "NA" -0.98525038 0.593400864 NA NA
"Lonicera_bella" "NA" "woody" "NA" "NA" 0.259291166 NA 0.354074561 -0.421165033
"Lonicera_canadensis" "NA" "woody" "NA" "NA" -0.299820087 NA 0.236932639 -0.378051171
"Lonicera_chrysantha" "NA" "woody" "AM" "NA" 0.41824794 -0.061005431 -0.798773081 -0.022142043
"Lonicera_fragrantissima" "NA" "woody" "NA" "NA" 0.525161018 NA -0.079508314 -0.526303944
"Lonicera_involucrata" "NA" "woody" "NA" "NA" 0.143430331 NA 0.277030839 -0.392299448
"Lonicera_japonica" "NA" "woody" "NA" "NA" 0.349876448 3.266390607 -0.239320686 -0.850245768
"Lonicera_maackii" "Temperate" "woody" "NA" "NA" 0.337262149 -0.403024943 0.563264535 -0.443626912
"Lonicera_morrowii" "NA" "woody" "NA" "NA" 0.232820126 NA 0.109592119 -0.295017835
"Lonicera_oblongifolia" "NA" "woody" "NA" "NA" 0.018946734 NA 0.153281714 0.272144428
"Lonicera_reticulata" "NA" "woody" "NA" "NA" -0.067488553 NA 0.427264449 -0.4654186
"Lonicera_sempervirens" "NA" "non-woody" "NA" "NA" -0.158196873 3.444011007 0.06455802 -0.907651247
"Lonicera_standishii" "NA" "woody" "NA" "NA" 0.259291166 NA 0.316059625 -0.526303944
"Lonicera_tatarica" "NA" "woody" "NA" "NA" 0.291723443 NA 0.109592119 0.243027825
"Lonicera_villosa" "NA" "woody" "NA" "NA" 0.208421169 NA 0.354074561 0.067724678
"Lonicera_xylosteum" "NA" "woody" "NA" "NA" 0.356189715 NA 0.01809403 -0.40667003
"Loropetalum_chinense" "Temperate" "woody" "NA" "NA" -0.394809537 0.42541633 -0.114681995 -0.256462717
"Lotus_corniculatus" "NA" "non-woody" "NA" "Rhizobia" -0.478761759 0.763093091 -0.39358629 1.082984195
"Lotus_tenuis" "NA" "non-woody" "AM" "Rhizobia" -0.306637823 0.539665302 -0.134129791 0.664976191
"Lotus_wrightii" "Temperate" "non-woody" "NA" "Rhizobia" -0.67226581 NA NA 1.262738922
"Loudetia_simplex" "NA" "non-woody" "NA" "NA" NA 0.942914399 0.486450185 -0.092088274
"Lupinus_argenteus" "Temperate" "non-woody/woody" "NA" "Rhizobia" -1.072751509 NA NA 1.690697963
"Lupinus_kingii" "Temperate" "non-woody" "NA" "Rhizobia" -1.101451067 NA NA 1.703979078
"Lupinus_luteus" "NA" "non-woody" "NA" "Rhizobia" -0.659182716 0.578361534 0.265062018 NA
"Lupinus_perennis" "Continental" "non-woody" "NA" "Rhizobia" -0.345316536 0.093440494 1.130677803 0.713778848
"Luzula_campestris" "NA" "non-woody" "NA" "NA" 0.434810369 -0.547731648 0.583813792 NA
"Luzula_rufa" "Temperate" "non-woody" "NA" "NA" 0.778347055 NA NA 0.867020298
"Luzula_sylvatica" "Temperate" "non-woody" "NA" "NA" 0.389526418 -0.055170085 NA -0.778595222
"Lychnis_flos-cuculi" "NA" "non-woody" "NA" "NA" 0.09403766 0.246991679 -0.703299164 NA
"Lycium_chinense" "Temperate" "woody" "NA" "NA" -0.993256278 NA NA 0.601637917
"Lyonia_ovalifolia" "Temperate" "woody" "NA" "NA" 0.445706538 -0.853443293 0.479256995 -0.720281217
"Lysiloma_latisiliquum" "Tropical" "woody" "NA" "Rhizobia" -0.150707216 -0.291422159 -0.064816292 -0.080916377
"Lysimachia_nemorum" "Temperate" "non-woody" "NA" "NA" 0.512539161 0.236621265 NA 0.625051407
"Lythrum_salicaria" "NA" "non-woody" "NA" "NA" 0.097939927 0.098508693 -0.384546403 NA
"Macaranga_sampsonii" "Temperate" "woody" "AM" "NA" 0.660512401 -1.037728966 -0.377335067 0.583631291
"Machaeranthera_canescens" "Temperate" "non-woody" "NA" "NA" 0.216191373 NA NA 0.155441373
"Machaeranthera_gracilis" "Temperate" "non-woody" "NA" "NA" 0.60022702 NA NA 0.347840751
"Machilus_breviflora" "Temperate" "woody" "AM" "NA" -0.420075661 0.611580409 -0.229332654 0.519479712
"Machilus_chinensis" "Temperate" "woody" "NA" "NA" NA NA NA -0.054634362
"Machilus_kwangtungensis" "Temperate" "woody" "AM" "NA" -0.104612572 0.276684389 0.279541895 0.257290029
"Machilus_nanmu" "NA" "woody" "AM" "NA" -0.84903132 0.939108499 -0.014508048 0.250954456
"Machilus_oculodracontis" "Temperate" "woody" "AM" "NA" -0.584500294 0.526651136 0.573651465 -0.016262329
"Machilus_robusta" "Temperate" "woody" "AM" "NA" -0.447867069 0.418278486 0.095643473 0.119407493
"Machilus_shweliensis" "Temperate" "woody" "AM" "NA" -0.167760276 0.47214959 -0.478600893 NA
"Machilus_thunbergii" "Temperate" "woody" "NA" "NA" -0.892674251 1.49125112 -0.213927223 0.238606177
"Machilus_velutina" "Temperate" "woody" "AM" "NA" -0.447867069 0.418278486 0.095643473 0.688937842
"Macropanax_undulatus" "Temperate" "woody" "AM" "NA" -0.187497001 -0.476450969 0.373993553 -0.379128457
"Madhuca_endertii" "Tropical" "woody" "AM" "NA" -0.476318248 0.592888977 -0.114301553 NA
"Magnolia_acuminata" "NA" "woody" "AM" "NA" -0.546237668 0.804052595 -0.226679496 0.34099272
"Magnolia_baillonii" "Temperate" "woody" "NA" "NA" -0.240537523 0.419271177 -0.170346934 0.287427013
"Magnolia_carsonii" "Tropical" "woody" "AM" "NA" -0.247012227 0.703205242 -0.791365898 NA
"Magnolia_champaca" "Tropical" "woody" "NA" "NA" -0.890369024 0.567930701 0.464366833 0.249583283
"Magnolia_championii" "Temperate" "woody" "AM" "NA" -0.218450216 0.811154441 -1.003520604 1.091198453
"Magnolia_chapensis" "NA" "woody" "AM" "NA" -0.987114944 1.386111331 -0.559500015 0.241423893
"Magnolia_conifera" "Temperate" "woody" "NA" "NA" -0.154863767 0.254425407 -0.204009342 0.072753545
"Magnolia_denudata" "Temperate" "woody" "AM" "NA" -0.326928822 0.742511258 -0.409233351 -0.073102023
"Magnolia_grandiflora" "Temperate" "woody" "AM" "NA" -0.85106741 0.956041303 -0.119612081 0.01234327
"Magnolia_kobus" "Temperate" "woody" "AM" "NA" -0.097605307 0.467564617 -0.244856465 1.079851648
"Magnolia_macrophylla" "Temperate" "woody" "AM" "NA" -0.452805762 0.979000379 -0.150613574 0.870968681
"Magnolia_maudiae" "Temperate" "woody" "AM" "NA" -0.285121196 0.672819263 -0.588822291 0.297861821
"Magnolia_odora" "Temperate" "woody" "NA" "NA" -0.205178123 0.601493358 -0.477030667 0.184445286
"Magnolia_stellata" "NA" "woody" "AM" "NA" -0.039583088 0.558521492 -0.794597208 0.498013914
"Magnolia_tripetala" "NA" "woody" "AM" "NA" -0.396312843 0.782434055 -0.289208313 0.516932534
"Magnolia_virginiana" "NA" "woody" "AM" "NA" -0.304475183 0.81536663 -0.463071386 0.502922105
"Magnolia_xanthantha" "Tropical" "woody" "NA" "NA" -0.37946574 0.435636199 -0.181212717 0.046285052
"Magnolia_yuyuanensis" "Temperate" "woody" "AM" "NA" -0.392057695 0.731085894 -0.621361756 0.438060717
"Mallotus_paniculatus" "NA" "woody" "AM" "NA" 0.021265811 -0.174259122 0.292504336 0.168067005
"Malpighia_emarginata" "Tropical" "woody" "NA" "NA" -0.013213074 0.006867909 -0.079913637 0.168533502
"Malus_baccata" "Temperate" "woody" "AM" "NA" 0.099004472 -0.051376218 -0.059684278 0.296382451
"Malus_domestica" "Continental" "woody" "NA" "NA" NA -0.706273569 NA NA
"Manglietia_dandyi" "Temperate" "woody" "AM" "NA" -0.526902445 0.875774847 -0.944301028 0.41362866
"Manglietia_insignis" "Temperate" "woody" "NA" "NA" -0.24086283 0.306791344 -0.28573282 -0.335548004
"Manglietia_paruicula" "Temperate" "woody" "AM" "NA" -0.379729605 0.540707377 -0.388920717 0.326735294
"Manilkara_bidentata" "Tropical" "woody" "NA" "NA" NA NA NA 0.223842839
"Manoao_colensoi" "Temperate" "woody" "AM" "NA" -0.226188057 0.248018639 -0.454517614 -0.18889316
"Mayodendron_igneum" "Tropical" "woody" "NA" "NA" -1.169074378 0.38967816 0.632742895 0.484120945
"Maytenus_schippii" "Tropical" "woody" "NA" "NA" -0.31919733 0.098304999 0.484143248 -0.368760664
"Medicago_lupulina" "NA" "non-woody" "NA" "Rhizobia" -0.068928958 0.454730645 -0.609240459 1.617208486
"Medicago_minima" "NA" "non-woody" "NA" "Rhizobia" 0.12816953 -0.051995049 0.236385362 1.327405361
"Medicago_ruthenica" "Continental" "non-woody" "NA" "Rhizobia" NA -0.261513996 NA NA
"Medicago_sativa" "NA" "non-woody" "NA" "Rhizobia" 0.040948283 -0.185518901 -0.445745099 0.850531664
"Medicago_varia" "NA" "non-woody" "NA" "Rhizobia" -0.834976075 0.704070189 0.655456137 0.955875905
"Melicope_pteleifolia" "Temperate" "woody" "AM" "NA" 0.668049305 -0.535506286 -0.242449301 0.43218308
"Melicytus_ramiflorus" "NA" "woody" "AM" "NA" 0.509835769 -0.203519982 -0.728022775 0.677420241
"Melilotus_albus" "NA" "non-woody" "AM" "Rhizobia" 0.037338697 NA -0.718928592 NA
"Melilotus_officinalis" "NA" "non-woody" "NA" "Rhizobia" 0.102404265 -0.15641667 0.021810269 NA
"Melilotus_wolgicus" "Continental" "non-woody" "NA" "Rhizobia" -0.489246563 NA NA 1.594027778
"Memecylon_nigrescens" "Temperate" "woody" "AM" "NA" 0.501555989 -0.571937203 0.070384161 -0.148025438
"Menyanthes_trifoliata" "Polar" "non-woody" "NA" "NA" NA NA NA -0.593161048
"Merremia_umbellata" "Temperate" "non-woody" "NA" "NA" -0.189225184 0.414877535 NA 1.24873456
"Metrosideros_diffusa" "Temperate" "woody" "AM" "NA" 0.825878391 -1.349371094 0.961534597 -0.647847979
"Metrosideros_excelsa" "NA" "woody" "AM" "NA" -0.036108928 -0.199611963 0.458197663 -0.494922676
"Metrosideros_fulgens" "Temperate" "woody" "AM" "NA" 0.754458506 -1.174659026 0.839506217 -0.457230142
"Metrosideros_polymorpha" "Tropical" "woody" "NA" "NA" NA NA NA -0.011507177
"Metrosideros_robusta" "NA" "woody" "AM" "NA" 0.420926545 -0.399612124 -0.135025367 -0.368775477
"Metrosideros_umbellata" "NA" "woody" "AM" "NA" 0.116966982 -0.447970889 0.584367975 -0.627196523
"Michelia_alba" "Temperate" "woody" "NA" "NA" 0.138216197 0.056868994 -0.445917194 0.253845636
"Michelia_balansae" "Temperate" "woody" "AM" "NA" -0.435228902 0.761778851 -0.109312762 0.29314404
"Michelia_cavaleriei" "Temperate" "woody" "AM" "NA" -0.624138831 1.149456921 -0.174367595 0.245430505
"Michelia_champaca" "Temperate" "woody" "AM" "NA" -0.444333564 0.409533164 0.22992722 -0.194921081
"Michelia_chapensis" "Temperate" "woody" "NA" "NA" -0.261602703 0.541463108 -0.503781284 0.209749501
"Michelia_figo" "Temperate" "woody" "NA" "NA" -0.051353774 0.516278773 -0.776398186 0.074531411
"Michelia_fulva" "Temperate" "woody" "AM" "NA" -0.462543476 0.974291757 -0.109312762 0.246223759
"Michelia_macclurei" "Temperate" "woody" "AM" "NA" -0.37633092 0.63418882 -0.514049368 0.480661825
"Michelia_odora" "Temperate" "woody" "AM" "NA" -0.700065789 0.750854506 -0.047027075 0.202840923
"Michelia_opipara" "Temperate" "woody" "AM" "NA" -0.761003236 0.831102251 -0.388920717 0.643270424
"Michelia_wilsonii" "Temperate" "woody" "AM" "NA" -0.515228607 1.121188004 -0.7883398 0.756776218
"Microcos_paniculata" "Tropical" "woody" "AM" "NA" 0.788383614 -1.754949644 1.084530723 -0.239902847
"Microlaena_stipoides" "NA" "non-woody" "NA" "NA" -0.113343943 -0.282986211 NA NA
"Micropholis_egensis" "Tropical" "woody" "NA" "NA" -0.344751723 0.338055769 0.049133058 NA
"Micropholis_guyanensis" "Tropical" "woody" "NA" "NA" -0.066883475 -0.335806057 0.224963388 NA
"Micropholis_venulosa" "Tropical" "woody" "NA" "NA" -0.193827863 -0.126056337 0.454501208 NA
"Microstegium_vimineum" "NA" "non-woody" "NA" "NA" NA NA NA 0.106445338
"Microtropis_discolor" "Temperate" "woody" "AM" "NA" 0.527924197 0.393764001 0.419027653 0.350003561
"Millettia_leptobotrya" "Temperate" "woody" "AM" "Rhizobia" -0.267122533 -0.069978035 0.806403288 0.901343704
"Millingtonia_hortensis" "Tropical" "woody" "NA" "NA" -0.159708396 0.496079712 0.412968912 0.308955494
"Mirabilis_decipiens" "Temperate" "non-woody" "NA" "NA" 0.005594695 NA NA 0.22133954
"Mirabilis_linearis" "NA" "non-woody" "NA" "NA" 0.023894458 -0.390141 0.683988102 NA
"Mnesithea_rottboellioides" "NA" "non-woody" "NA" "NA" NA 0.596881016 0.604535553 -1.227369502
"Molinia_caerulea" "Temperate" "non-woody" "NA" "NA" 0.361068341 -0.589703353 NA 0.302395406
"Monarda_fistulosa" "NA" "non-woody" "NA" "NA" 0.161894928 0.008242481 -0.35816349 -0.510586946
"Morella_cerifera" "Tropical" "woody" "NA" "Frankia" 1.052072552 -0.608834806 -1.266601178 -0.093298363
"Moringa_oleifera" "Tropical" "woody" "NA" "NA" -0.292226381 0.140784993 -0.267253493 0.773396434
"Morus_alba" "NA" "woody" "NA" "NA" NA 0.079760949 NA 0.33405541
"Morus_macroura" "Tropical" "woody" "NA" "NA" 0.816417716 -0.828739081 0.430879464 NA
"Muehlenbeckia_axillaris" "Temperate" "woody" "NA" "NA" NA NA 1.50835401 NA
"Muhlenbergia_minutissima" "Temperate" "non-woody" "NA" "NA" 0.748880112 NA NA 0.282639054
"Muhlenbergia_montana" "Temperate" "non-woody" "NA" "NA" 0.636964901 NA NA -0.806277879
"Muhlenbergia_peruviana" "Temperate" "non-woody" "NA" "NA" 0.973521457 NA -1.219627915 1.006858907
"Muhlenbergia_racemosa" "Continental" "non-woody" "NA" "NA" 0.557427148 NA NA NA
"Muhlenbergia_ramulosa" "Temperate" "non-woody" "NA" "NA" 1.031652746 NA NA -0.045042428
"Muhlenbergia_rigens" "Temperate" "non-woody" "NA" "NA" -0.025800025 NA NA -0.721962514
"Muhlenbergia_wrightii" "Temperate" "non-woody" "NA" "NA" 0.49596875 NA NA 0.80954265
"Mulguraea_tridens" "Arid" "woody" "NA" "NA" NA NA NA -0.075969051
"Munroa_squarrosa" "Temperate" "non-woody" "NA" "NA" 0.686374813 NA NA -0.166419791
"Musineon_divaricatum" "Arid" "non-woody" "NA" "NA" -0.537439143 1.09809843 -0.437986526 NA
"Myosotis_arvensis" "NA" "non-woody" "NA" "NA" 0.561920824 -0.675401916 0.063772461 NA
"Myosotis_laxa" "Temperate" "non-woody" "NA" "NA" NA NA -1.238903253 NA
"Myosurus_minimus" "NA" "non-woody" "NA" "NA" -0.111920359 0.286372965 -0.34883541 NA
"Myrica_rubra" "Temperate" "woody" "NA" "Frankia" -0.00183047 -0.165753813 0.132991323 0.232834123
"Myriophyllum_propinquum" "Temperate" "non-woody" "NA" "NA" NA NA -0.464653918 NA
"Myrsine_coriacea" "NA" "woody" "AM" "NA" 0.089828985 -0.213076178 0.211977462 -0.423670967
"Myrsine_seguinii" "Temperate" "woody" "AM" "NA" -0.011600606 0.543466558 -0.87508157 -0.318385266
"Myrtus_communis" "Temperate" "woody" "NA" "NA" 0.007127899 0.006708403 0.339058698 NA
"Mytilaria_laosensis" "Temperate" "woody" "NA" "NA" 0.065543099 -0.038549214 -0.038832317 -0.016518013
"Nabalus_tatarinowii" "NA" "non-woody" "AM" "NA" 0.905844754 -0.612439935 -0.789993239 0.928664784
"Nama_dichotomum" "Temperate" "non-woody" "NA" "NA" 0.990256652 NA NA -0.565102574
