analysis,comparison,biome,set,axes_compared,k_compare,metric,obs,p_value,n_shared_species,source_file,k_ref,k_biome,notes,r_equiv
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0569424874371929,0.116,1218,NA,NA,NA,NA,0.9711114830763804
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0573148965232634,0.1081,1218,NA,NA,NA,NA,0.9709197204077877
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0584111187457365,0.0873,1218,NA,NA,NA,NA,0.970355028458277
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0572689254183216,0.109,1218,NA,NA,NA,NA,0.9709433941181527
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0585296744419475,0.086,1218,NA,NA,NA,NA,0.9702939377106571
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0575889529009764,0.102,1218,NA,NA,NA,NA,0.9707785777915702
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0574921955592791,0.1038,1218,NA,NA,NA,NA,0.9708284114305271
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0557514046091594,0.1402,1218,NA,NA,NA,NA,0.971724547076403
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.05687411577324,0.1175,1218,NA,NA,NA,NA,0.9711466852266758
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0569007934946848,0.1159,1218,NA,NA,NA,NA,0.9711329499637602
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0567061871419433,0.1208,1218,NA,NA,NA,NA,0.9712331403211366
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0572929754862408,0.1081,1218,NA,NA,NA,NA,0.9709310091421322
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0566423806667858,0.1226,1218,NA,NA,NA,NA,0.9712659879421364
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_1x,PC1-PC4,NA,procrustes_residual_m2,0.0578399623597708,0.0978,1218,NA,NA,NA,NA,0.9706492866325247
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0584772459620325,0.0858,1218,NA,NA,NA,NA,0.9703209541373243
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0604835381116868,0.0585,1218,NA,NA,NA,NA,0.9692865736655559
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.060856372146657,0.0547,1218,NA,NA,NA,NA,0.9690942306367029
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0559577584715976,0.1336,1218,NA,NA,NA,NA,0.9716183620786519
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0590569071066341,0.0779,1218,NA,NA,NA,NA,0.9700222125773027
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0565846114448978,0.1228,1218,NA,NA,NA,NA,0.9712957266224855
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.055852999674151,0.1376,1218,NA,NA,NA,NA,0.971672270020015
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0586989430628514,0.0833,1218,NA,NA,NA,NA,0.9702067083550538
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0605884360285123,0.058,1218,NA,NA,NA,NA,0.9692324612658656
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0566566462941238,0.1215,1218,NA,NA,NA,NA,0.9712586440829633
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0592547673412055,0.0757,1218,NA,NA,NA,NA,0.969920219739126
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0571265009580401,0.1107,1218,NA,NA,NA,NA,0.9710167346868744
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0573148819039599,0.1087,1218,NA,NA,NA,NA,0.9709197279363727
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0588743288835094,0.0785,1218,NA,NA,NA,NA,0.970116318343574
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.057459871043758,0.1056,1218,NA,NA,NA,NA,0.9708450591913428
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.054603461675796,0.1677,1218,NA,NA,NA,NA,0.9723150406757082
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0605947609093825,0.0564,1218,NA,NA,NA,NA,0.9692291984307001
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0604288099171583,0.0594,1218,NA,NA,NA,NA,0.9693148044277679
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0571994168659013,0.1102,1218,NA,NA,NA,NA,0.9709791877965761
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0603819294834286,0.0591,1218,NA,NA,NA,NA,0.9693389863801886
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0586139102952362,0.0852,1218,NA,NA,NA,NA,0.9702505293504167
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0572929097990354,0.1071,1218,NA,NA,NA,NA,0.9709310429690486
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.058585073847007,0.0846,1218,NA,NA,NA,NA,0.9702653895471037
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0594315654889888,0.0717,1218,NA,NA,NA,NA,0.9698290748946493
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0578940908254066,0.0976,1218,NA,NA,NA,NA,0.9706214036248084
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0562767757040439,0.1327,1218,NA,NA,NA,NA,0.9714541802349487
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0597357248367596,0.0691,1218,NA,NA,NA,NA,0.9696722514144872
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0582866653384535,0.0891,1218,NA,NA,NA,NA,0.9704191541089585
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0554086230977118,0.1482,1218,NA,NA,NA,NA,0.9719009089934468
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0598073935631939,0.0677,1218,NA,NA,NA,NA,0.969635295581182
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0589599507301224,0.0787,1218,NA,NA,NA,NA,0.9700721876591853
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.05876502780899,0.0828,1218,NA,NA,NA,NA,0.9701726507127533
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0587511877033505,0.0818,1218,NA,NA,NA,NA,0.9701797834920337
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0592028804894384,0.0737,1218,NA,NA,NA,NA,0.9699469673701555
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0613086640343255,0.0498,1218,NA,NA,NA,NA,0.9688608444795747
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0578012763264941,0.0981,1218,NA,NA,NA,NA,0.9706692143431283
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0567860724197277,0.119,1218,NA,NA,NA,NA,0.971192013754372
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.057569744700925,0.1025,1218,NA,NA,NA,NA,0.9707884709343612
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0597831244863348,0.0697,1218,NA,NA,NA,NA,0.9696478100391219
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0574947352717227,0.1047,1218,NA,NA,NA,NA,0.9708271034166059
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0598103313326767,0.0661,1218,NA,NA,NA,NA,0.9696337806962603
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.058026284187595,0.0946,1218,NA,NA,NA,NA,0.9705533039521348
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0578000935872122,0.0967,1218,NA,NA,NA,NA,0.9706698235820396
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0542439858143971,0.1772,1218,NA,NA,NA,NA,0.9724998787586572
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0564642834463787,0.125,1218,NA,NA,NA,NA,0.9713576666468543
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0565976755446366,0.1226,1218,NA,NA,NA,NA,0.9712890015105512
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0563932357344527,0.1259,1218,NA,NA,NA,NA,0.9713942373030362
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0573604011950266,0.1069,1218,NA,NA,NA,NA,0.9708962863277278
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.056192889118977,0.1307,1218,NA,NA,NA,NA,0.9714973550561128
oob_imputation_uncertainty,bootstrap imputations vs mean-imputation reference,NA,oob_2x,PC1-PC4,NA,procrustes_residual_m2,0.0588429708653287,0.0813,1218,NA,NA,NA,NA,0.9701324801977672
